id;data;leitura;titulo;conteudo;tipo
1;2021-11-07T19:11:16;2021-11-07T15:26:35;Andorra;Checking Account Credit Card Account Manager;ADVERTENCIA
2;2021-11-07T23:54:20;2021-11-07T11:46:44;Ergonomic;paradigms SMTP ADP;SOLICITACAO
3;2021-11-07T04:34:00;2021-11-07T21:43:15;executive;lavender Hat Garden;ADVERTENCIA
4;2021-11-07T17:02:46;2021-11-07T12:52:02;Plastic;Trafficway Checking Account Kyat;REUNIAO
5;2021-11-07T08:10:58;2021-11-07T09:12:39;withdrawal;New Jersey incubate scale;ADVERTENCIA
6;2021-11-07T17:38:39;2021-11-07T00:20:24;Georgia Practical Avon;Mexican Peso Mexican Unidad de Inversion (UDI) architect solution-oriented;REUNIAO
7;2021-11-07T18:07:45;2021-11-07T05:30:00;payment networks Uganda;Small Granite Chair Licensed;REUNIAO
8;2021-11-07T07:06:01;2021-11-07T18:22:48;bypass;Garden;SOLICITACAO
9;2021-11-07T18:35:31;2021-11-07T14:49:12;input;THX Savings Account logistical;ADVERTENCIA
10;2021-11-07T14:45:19;2021-11-07T20:40:01;revolutionize Baby Timor-Leste;Bedfordshire Unbranded payment;ADVERTENCIA
