id;cep;logradouro;complemento_1;complemento_2;numero;bairro;localidade;uf;unidade;ibge;gia;latitude;longitude
1;customized;Officer Personal Loan Account online;Applications Canyon;USB;interfaces;Forward;Chair;motivating;Bacon Integration;Fall circuit bandwidth-monitored;dot-com synthesizing;56386;18681
2;Checking A;Response deposit;Handcrafted cross-platform;Investment Account;Handmade I;sticky calculate Rubber;connecting;magenta;salmon;Handmade Intelligent;wireless Manager Bacon;57121;67232
3;Concrete;Auto Loan Account;withdrawal;GB copy product;reinvent b;Small;copying;Table indexing;Practical Steel Chip;Lempira Credit Card Account synthesizing;Principal RSS XML;77952;20705
4;mobile Gib;Generic Applications;Health Oval pink;function;Granite Pa;proactive Salad Creative;Buckinghamshire Architect reciprocal;Rustic Kids black;Netherlands Antilles;Shirt;AGP auxiliary;48238;8974
5;orange Flo;Philippine Peso Garden;Wooden program;Fords Intelligent Fresh;Principal;Maryland navigate bypassing;Florida Cambridgeshire JSON;deposit transmitting;calculating Fresh;Central Mobility Checking Account;Buckinghamshire Versatile;65192;70445
6;transmitti;Licensed Concrete;green deposit;synergize intermediate Route;Usability ;Divide monitor reboot;Buckinghamshire reboot;solid state Mouse Internal;Missouri deliverable;Agent proactive;Frozen Ameliorated;51486;25299
7;salmon Bor;bypassing methodical Computer;Ergonomic;Handcrafted;Arkansas c;Buckinghamshire;software;array;Dale Polarised Pants;Frozen;Global navigate;23982;69687
8;Buckingham;Trail Shirt;gold;quantifying withdrawal system;Handmade C;Money Market Account Ergonomic Cotton Gloves;Reduced;Mississippi eyeballs;Avon strategic Ethio;multimedia Personal Loan Account New Mexico;Producer Small Graphic Interface;60419;58746
9;Burkina Fa;Auto Loan Account 1080p convergence;Tasty digital;Meadows;driver Har;Massachusetts communities;compress Iowa;reboot override;Cambridgeshire auxil;Marketing;HDD Fantastic Granite Shirt;9091;7868
10;actuating ;capacity;high-level Small;Metal;Planner Pr;innovate system grey;transmitting;executive Drives transmit;Orchestrator Pakista;Mews Checking Account;harness Montana transmit;98416;40969
