id;data;leitura;titulo;conteudo;tipo
1;2021-11-07T23:07:02;2021-11-07T18:47:35;generate program invoice;azure;COMUNICADO
2;2021-11-07T06:16:56;2021-11-07T16:03:43;Corporate Buckinghamshire;transmitting;INFORMACAO
3;2021-11-07T19:35:03;2021-11-07T14:03:04;secured line optical lime;Granite Credit Card Account Front-line;INFORMACAO
4;2021-11-07T07:17:07;2021-11-07T01:36:58;zero administration;harness;COMUNICADO
5;2021-11-07T20:54:30;2021-11-07T20:22:44;hack Valley Lead;Assistant Way navigating;COMUNICADO
6;2021-11-07T01:21:38;2021-11-07T11:35:42;copying;quantify;INFORMACAO
7;2021-11-07T10:40:44;2021-11-07T10:49:21;Optimized supply-chains Functionality;partnerships Optimization;INFORMACAO
8;2021-11-07T04:10:52;2021-11-07T00:48:49;white Borders;Persevering withdrawal;COMUNICADO
9;2021-11-07T01:46:31;2021-11-07T22:54:04;compress transmit Keyboard;Buckinghamshire calculate strategic;COMUNICADO
10;2021-11-07T19:23:10;2021-11-07T04:02:58;Lead Program;Borders Hat orange;COMUNICADO
